,YEAR,NOM_MUN,TOT_HOG,HOG_REM,HOG_REM.1,HOG_CIRC,HOG_RET,IIM,GIM,LUGAR
132,2020,Tubutama,491,9.368635438,1.01832994,0.40899796,1.01832994,63.30647,Bajo,956.0
133,2020,Ures,2960,3.786342123,1.95945946,0.20304569,0.74324324,64.13359,Bajo,1401.0
134,2020,Villa Hidalgo,494,7.707910751,3.03643725,0.20283976,1.82555781,63.19576,Bajo,918.0
135,2020,Villa Pesqueira,378,1.058201058,0.79365079,0.0,0.52910053,64.97626,Muy bajo,2124.0
136,2020,Yécora,1490,1.543624161,0.53691275,0.0,0.20134228,65.05564,Muy bajo,2198.0
137,2020,General Plutarco Elías Calles,4079,9.977935769,4.29026722,0.44356826,2.28332924,62.27352,Medio,637.0
138,2020,Benito Juárez,5937,3.772949301,1.44854304,0.18540367,0.45477514,64.32678,Bajo,1539.0
139,2020,San Ignacio Río Muerto,3957,3.1107739,0.93505181,0.10129147,0.17690169,64.67966,Muy bajo,1820.0
140,2020,Benito Juárez,1539,1.949317739,0.51981806,0.13012362,0.25990903,64.82442,Muy bajo,1957.0
141,2020,Benito Juárez,4581,1.746343593,0.56756167,0.06548788,0.0,64.9966,Muy bajo,2143.0
142,2020,Magdalena,853,0.468933177,0.11723329,0.0,0.0,65.3079,Muy bajo,2428.0
143,2020,Nogales,10464,3.307839388,0.382263,0.04786063,0.17208413,64.82437,Muy bajo,1956.0
144,2020,Benito Juárez,1276,18.4169279,5.79937304,0.31570639,3.13479624,60.97249,Alto,385.0
145,2020,Villa Hidalgo,4830,12.80298322,7.18426501,1.06139438,1.96809613,60.72122,Alto,336.0
